P|5,10|9.7987,33.8805;9.7699,33.8764;9.7039,33.8847;9.6874,33.8805;9.6626,33.8599;9.6090,33.8310;9.5678,33.8269;9.5471,33.8187;9.4564,33.7692;9.4028,33.7609;9.3574,33.7486;9.3327,33.7527;9.2873,33.7486;9.2296,33.7362;9.1759,33.7403;9.1223,33.7486;9.0893,33.7609;9.0605,33.7651;9.0275,33.7486;8.9986,33.7156;8.9738,33.6949
P|10,21|8.9738,33.6949;8.9615,33.7073;8.9078,33.7279;8.8460,33.7774;8.7882,33.7980;8.7222,33.8145;8.6274,33.8517;8.4500,33.9342;8.3799,33.9589;8.3387,33.9795;8.2974,34.0084;8.2727,34.0084;8.2438,33.9919;8.2314,33.9795;8.1861,33.9506;8.1201,33.9259
P|5|10.0957,33.8805;10.1163,33.8434;10.1782,33.7939;10.2730,33.6578;10.3102,33.5959
P|5|10.0008,33.5382;10.0173,33.5836;10.0132,33.6042;10.0173,33.6289;10.0421,33.6784;10.0544,33.7114;10.0833,33.7609;10.0916,33.7857;10.0916,33.8558;10.0957,33.8805
P|14|11.0938,33.4887;11.0979,33.5011;11.0897,33.5258;11.0649,33.5630;11.0196,33.6001;10.9494,33.6207;10.9288,33.6413;10.9164,33.6619;10.9082,33.6991
P|5,14|10.3102,33.5959;10.3225,33.5671;10.3225,33.5465;10.3431,33.5135;10.3514,33.4805;10.3885,33.4351;10.4133,33.4186;10.4504,33.3774
P|5,14|10.4504,33.3774;10.4256,33.3732;10.3390,33.3897;10.2937,33.4021;10.2318,33.4310;10.1947,33.4310;10.1699,33.4475;10.0874,33.4722;10.0256,33.4970;10.0091,33.5176;10.0008,33.5382
P|14|10.4916,33.3402;10.6030,33.3609;10.6484,33.3567
P|14|10.4834,33.3402;10.4916,33.3402
P|14|10.4504,33.3774;10.4710,33.3485;10.4834,33.3402
P|14|11.2175,33.1340;11.2175,33.1546;11.2258,33.1670;11.2216,33.1794;11.1804,33.1959;11.1474,33.2289;11.1227,33.2454;11.1144,33.2577;11.1062,33.2825;11.1020,33.3485;11.0814,33.4516;11.0938,33.4887
P|14|11.1680,33.1299;11.2175,33.1340
P|14|10.6484,33.3567;10.7061,33.3155;10.8051,33.2660;10.8505,33.2495;10.9494,33.1959;11.0897,33.1299;11.1350,33.1258;11.1680,33.1299
P|14,20|10.4834,33.3402;10.4669,33.3031;10.4421,33.2041;10.4463,33.1794;10.4669,33.1546;10.4916,33.1340;10.4958,33.1093;10.4545,33.0392;10.4504,33.0020;10.4545,32.9484
P|14|11.2175,33.1340;11.3701,33.1546;11.4485,33.1423;11.5392,33.1381;11.5640,33.1299;11.6052,33.0969;11.6547,33.0804;11.7413,33.0598;11.7743,33.0433;11.8568,32.9608;11.9310,32.9402
P|20|10.4545,32.9484;10.4504,32.9402;10.4050,32.9072;10.3844,32.8701;10.3761,32.8453;10.3761,32.8041;10.3638,32.7422;10.3266,32.6391;10.2772,32.5360;10.2607,32.4947
P|5,10,20|9.7987,33.8805;9.7987,33.8599;9.7492,33.6826;9.7204,33.6248;9.6915,33.5918;9.6832,33.5547;9.7039,33.4310;9.7204,33.2866;9.7204,33.2412;9.7410,33.0845;9.7492,33.0433;9.7492,33.0062;9.7451,32.9690;9.7286,32.8742;9.7204,32.7958;9.7204,32.7051;9.7286,32.6102;9.7327,32.4989;9.7286,32.4576
P|20|10.2607,32.4947;10.2607,32.4741;10.2689,32.4452;10.2854,32.4122;10.3060,32.3834;10.3473,32.3545
P|20|9.7286,32.4576;9.7245,32.3710;9.7286,32.3050;9.7575,32.1277;9.7575,32.0699
P|20|10.3473,32.3545;10.3885,32.3380;10.4298,32.3009;10.4504,32.2926;10.4834,32.2885;10.5205,32.2885;10.5494,32.2803;10.5659,32.2679;10.5824,32.2266;10.6030,32.1936;10.6277,32.1730;10.6649,32.1235;10.6772,32.0988;10.6937,32.0369
P|20|10.6937,32.0369;10.6937,32.0245;10.6607,31.9462;10.6442,31.9214;10.6442,31.9091;10.6566,31.8843;10.6937,31.8802;10.7226,31.8596;10.7350,31.8554;10.7762,31.8719;10.7968,31.8926;10.8051,31.9173;10.8133,31.9297;10.8669,31.9379;10.8711,31.9462;10.8958,31.9503;10.9041,31.9256;10.9164,31.9214;10.9453,31.9214;10.9824,31.8884;10.9989,31.8678
P|20|9.7575,32.0699;9.7575,32.0369;9.7492,31.9503;9.7451,31.8101;9.7492,31.7730;9.7492,31.6946;9.7616,31.6204;9.7781,31.5709;9.8028,31.5131;9.8317,31.4677;9.9390,31.3440;9.9802,31.3028
P|20|9.9802,31.3028;10.0338,31.2492;10.1163,31.1584;10.1287,31.1295;10.1410,31.0677;10.1369,31.0182;10.1246,30.9398;10.1246,30.8821;10.1204,30.8243;10.1039,30.7872;10.0338,30.6635;9.9884,30.5604;9.9555,30.4985;9.9390,30.4779
P|20|9.9390,30.4779;9.8771,30.4408;9.7864,30.4036;9.7616,30.3871;9.7327,30.3624;9.6131,30.2923;9.5636,30.2717;9.5265,30.2634;9.4688,30.2387;9.4275,30.2139;9.4152,30.2139
